employee_event_id,employee_event_code,employee_event_name,employee_event_score
0,APPLYCV,Apply CV,0
1,SCREENCV,Screen CV,0
2,INTERVIEW,Intervew,0
3,OFFFER,Offer,0
4,ONBOARD,Onboard,0
5,OFFBOARD,Offboard,0
6,ACTIVITY,Company Opentalk,0
7,PROJECT,Project activity,0
8,JOINPROJECT,Joined project,0
9,LEAVE,Leave,0
10,BONUS,Bonus,0
11,DISCIPLINE,Discipline,0
12,PAUSE,Pause,0
13,RESUME,RESUME,0
14,PROMOTE,Promote,0
15,DEMOTE,Demote,0
16,PROMOTED_INTERN0,"intern 0",0
17,PROMOTED_INTERN1,"intern 600K",0
18,PROMOTED_INTERN2,"intern 2M",0
19,PROMOTED_INTERN3,"intern 4M",0
20,PROMOTED_FRESHER1,"fresher-",0
21,PROMOTED_FRESHER2,"fresher",0
22,PROMOTED_FRESHER3,"fresher+",0
23,PROMOTED_JUNIOR1,"junior-",0
24,PROMOTED_JUNIOR2,"junior",0
25,PROMOTED_JUNIOR3,"junior+",0
26,PROMOTED_MIDDLE1,"middle-",0
27,PROMOTED_MIDDLE2,"middle",0
28,PROMOTED_MIDDLE3,"middle+",0
29,PROMOTED_SENIOR1,"senior-",0
30,PROMOTED_SENIOR2,"senior",0
31,PROMOTED_SENIOR3,"senior+",0
32,REVIEW,Rewview,